geo_id,unemploy_rate,pct_below_poverty
1400000US53063010701,4.4,3.2
1400000US53063010702,1.1,13.8
1400000US53063010800,5.9,24.5
1400000US53063010901,16.1,12.9
1400000US53063010902,12.0,19.6
1400000US53063011000,6.5,8.8
1400000US53063011102,3.2,13.2
1400000US53063011103,14.2,12.9
1400000US53063011104,18.4,34.6
1400000US53063011202,6.0,6.8
1400000US53063011203,6.7,33.7
1400000US53063011204,2.1,11.9
1400000US53063011301,1.8,5.3
1400000US53063011302,3.8,13.1
1400000US53063011400,1.6,11.9
1400000US53063011500,6.1,7.5
1400000US53063011600,3.6,11.5
1400000US53063011701,1.4,10.2
1400000US53063011702,6.2,21.8
1400000US53063011800,7.1,15.6
1400000US53063011900,3.4,10.0
1400000US53063012000,3.9,16.8
1400000US53063012100,7.0,7.8
1400000US53063012200,8.7,11.1
1400000US53063012300,4.1,17.4
1400000US53063012401,8.3,5.7
1400000US53063012402,6.7,7.7
1400000US53063012500,5.9,18.6
1400000US53063012600,5.1,12.3
1400000US53063012701,2.4,7.0
1400000US53063012702,13.2,2.9
1400000US53063012801,6.5,8.7
1400000US53063012802,6.6,4.3
1400000US53063012901,5.3,11.7
1400000US53063012902,4.0,4.3
1400000US53063013001,0.6,17.5
1400000US53063013002,8.6,10.0
1400000US53063013003,6.2,12.5
1400000US53063013101,6.5,8.6
1400000US53063013102,5.1,4.0
1400000US53063013201,2.9,6.9
1400000US53063013203,9.3,1.8
1400000US53063013204,5.9,1.6
1400000US53063013205,1.9,6.3
1400000US53063013300,3.8,2.6
1400000US53063013401,3.1,3.9
1400000US53063013501,2.6,8.6
1400000US53063013502,5.0,2.5
1400000US53063013503,1.0,1.0
1400000US53063013600,4.6,8.6
1400000US53063013700,3.1,8.3
1400000US53063013800,5.0,5.5
1400000US53063013900,4.5,5.0
1400000US53063014001,16.0,37.2
1400000US53063014002,9.5,32.4
1400000US53063014100,5.2,1.5
1400000US53063014200,3.2,12.5
1400000US53063014300,6.2,10.2
1400000US53063014400,8.2,9.2
1400000US53063014500,15.1,40.7
