geo_id,census_tract,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M
1400000US53063010508,Census Tract 105.08; Spokane County; Washington,520000.0,1164.0,19.6,37.1,48.3,4.4
1400000US53063010601,Census Tract 106.01; Spokane County; Washington,294700.0,1254.0,16.2,37.4,10.6,0.0
1400000US53063010603,Census Tract 106.03; Spokane County; Washington,341600.0,960.0,25.1,48.8,16.2,0.0
1400000US53063010604,Census Tract 106.04; Spokane County; Washington,331300.0,1595.0,11.6,47.4,14.5,0.0
1400000US53063010701,Census Tract 107.01; Spokane County; Washington,375100.0,,6.5,48.0,24.0,1.2
1400000US53063010702,Census Tract 107.02; Spokane County; Washington,375400.0,2071.0,17.3,46.4,27.0,1.1
1400000US53063010800,Census Tract 108; Spokane County; Washington,249700.0,861.0,60.5,18.8,0.5,1.3
1400000US53063010901,Census Tract 109.01; Spokane County; Washington,256400.0,1250.0,8.2,27.5,1.2,0.0
1400000US53063010902,Census Tract 109.02; Spokane County; Washington,348900.0,1663.0,20.4,46.2,20.0,0.0
1400000US53063011000,Census Tract 110; Spokane County; Washington,225600.0,1145.0,32.2,12.7,1.3,0.7
1400000US53063011102,Census Tract 111.02; Spokane County; Washington,246700.0,1001.0,71.0,24.5,1.2,0.0
1400000US53063011103,Census Tract 111.03; Spokane County; Washington,200000.0,820.0,76.7,19.8,5.7,0.0
1400000US53063011104,Census Tract 111.04; Spokane County; Washington,152700.0,1056.0,73.1,0.0,0.0,0.0
1400000US53063011202,Census Tract 112.02; Spokane County; Washington,268000.0,1148.0,10.2,27.4,11.7,0.9
1400000US53063011203,Census Tract 112.03; Spokane County; Washington,216800.0,1035.0,76.2,13.0,0.0,0.0
1400000US53063011204,Census Tract 112.04; Spokane County; Washington,215500.0,1153.0,36.8,28.9,0.0,0.0
1400000US53063011301,Census Tract 113.01; Spokane County; Washington,315800.0,1099.0,17.1,44.0,10.8,0.0
1400000US53063011302,Census Tract 113.02; Spokane County; Washington,360400.0,1105.0,41.6,57.0,8.9,2.7
1400000US53063011400,Census Tract 114; Spokane County; Washington,255100.0,1111.0,21.0,17.8,5.5,8.6
1400000US53063011500,Census Tract 115; Spokane County; Washington,192900.0,1099.0,18.1,15.3,2.3,1.5
1400000US53063011600,Census Tract 116; Spokane County; Washington,226600.0,900.0,33.1,19.8,2.5,2.3
1400000US53063011701,Census Tract 117.01; Spokane County; Washington,203200.0,738.0,40.4,7.6,3.2,0.0
1400000US53063011702,Census Tract 117.02; Spokane County; Washington,255500.0,1018.0,78.8,19.8,3.8,0.1
1400000US53063011800,Census Tract 118; Spokane County; Washington,232900.0,1026.0,82.5,12.0,3.1,0.0
1400000US53063011900,Census Tract 119; Spokane County; Washington,230700.0,1109.0,71.5,16.1,2.6,0.0
1400000US53063012000,Census Tract 120; Spokane County; Washington,220500.0,832.0,42.2,20.1,0.0,0.0
1400000US53063012100,Census Tract 121; Spokane County; Washington,183800.0,1111.0,35.5,9.0,0.0,0.0
1400000US53063012200,Census Tract 122; Spokane County; Washington,169400.0,943.0,25.8,12.3,1.5,0.0
1400000US53063012300,Census Tract 123; Spokane County; Washington,170000.0,995.0,42.2,19.3,1.1,0.0
1400000US53063012401,Census Tract 124.01; Spokane County; Washington,366300.0,3000.0,14.4,58.2,13.3,2.2
1400000US53063012402,Census Tract 124.02; Spokane County; Washington,393900.0,1311.0,16.0,62.3,19.3,0.6
1400000US53063012500,Census Tract 125; Spokane County; Washington,215900.0,979.0,58.4,8.9,2.0,0.0
1400000US53063012600,Census Tract 126; Spokane County; Washington,235200.0,840.0,28.1,18.5,0.6,0.0
1400000US53063012701,Census Tract 127.01; Spokane County; Washington,250100.0,1082.0,46.9,13.9,2.0,0.0
1400000US53063012702,Census Tract 127.02; Spokane County; Washington,247500.0,1205.0,10.6,29.5,2.4,0.0
1400000US53063012801,Census Tract 128.01; Spokane County; Washington,273700.0,786.0,31.5,32.6,2.4,1.0
1400000US53063012802,Census Tract 128.02; Spokane County; Washington,276400.0,1253.0,25.7,37.0,0.0,0.0
1400000US53063012901,Census Tract 129.01; Spokane County; Washington,223800.0,1375.0,34.9,16.2,3.5,0.0
1400000US53063012902,Census Tract 129.02; Spokane County; Washington,257900.0,1219.0,21.9,28.4,5.4,0.0
1400000US53063013001,Census Tract 130.01; Spokane County; Washington,338300.0,,9.5,50.8,16.5,0.0
1400000US53063013002,Census Tract 130.02; Spokane County; Washington,189000.0,1116.0,68.0,23.8,0.0,0.0
1400000US53063013003,Census Tract 130.03; Spokane County; Washington,467100.0,985.0,34.0,51.0,38.0,2.2
1400000US53063013101,Census Tract 131.01; Spokane County; Washington,306800.0,1415.0,37.8,48.2,4.6,0.0
1400000US53063013102,Census Tract 131.02; Spokane County; Washington,276000.0,1123.0,17.7,24.2,19.9,0.0
1400000US53063013201,Census Tract 132.01; Spokane County; Washington,261100.0,1429.0,7.9,24.7,8.5,2.8
1400000US53063013203,Census Tract 132.03; Spokane County; Washington,334900.0,1513.0,31.6,46.0,16.0,0.0
1400000US53063013204,Census Tract 132.04; Spokane County; Washington,377300.0,943.0,29.9,43.7,23.8,7.5
1400000US53063013205,Census Tract 132.05; Spokane County; Washington,462800.0,1481.0,28.6,35.7,38.8,1.8
1400000US53063013300,Census Tract 133; Spokane County; Washington,490700.0,1116.0,9.0,31.1,43.2,4.9
1400000US53063013401,Census Tract 134.01; Spokane County; Washington,423900.0,2047.0,8.6,55.2,21.5,5.8
1400000US53063013501,Census Tract 135.01; Spokane County; Washington,333000.0,,6.3,29.6,18.0,9.4
1400000US53063013502,Census Tract 135.02; Spokane County; Washington,552000.0,1597.0,10.0,24.0,47.0,9.3
1400000US53063013503,Census Tract 135.03; Spokane County; Washington,407800.0,,3.2,49.1,25.6,0.6
1400000US53063013600,Census Tract 136; Spokane County; Washington,278200.0,1261.0,35.1,33.7,7.6,0.8
1400000US53063013700,Census Tract 137; Spokane County; Washington,267100.0,1161.0,57.3,22.5,15.2,3.5
1400000US53063013800,Census Tract 138; Spokane County; Washington,,1455.0,99.3,0.0,100.0,0.0
1400000US53063013900,Census Tract 139; Spokane County; Washington,254100.0,675.0,22.1,24.0,5.5,0.0
1400000US53063014001,Census Tract 140.01; Spokane County; Washington,253000.0,863.0,73.2,29.4,0.0,1.0
1400000US53063014002,Census Tract 140.02; Spokane County; Washington,230100.0,1009.0,62.5,10.9,8.9,0.0
1400000US53063014100,Census Tract 141; Spokane County; Washington,297700.0,792.0,9.6,39.5,9.0,0.7
1400000US53063014200,Census Tract 142; Spokane County; Washington,353500.0,1215.0,16.9,32.2,22.2,1.0
1400000US53063014300,Census Tract 143; Spokane County; Washington,206700.0,766.0,22.0,18.4,6.2,0.0
1400000US53063014400,Census Tract 144; Spokane County; Washington,175800.0,1125.0,24.6,3.7,2.3,0.0
1400000US53063014500,Census Tract 145; Spokane County; Washington,170400.0,762.0,66.6,4.9,3.9,1.6
