geo_id,census_tract,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063000201,Census Tract 2.01; Spokane County; Washington,39.9,53.0,4.3,13.6,13.8,17.9,4.3,7.9,20.9,14.4
1400000US53063000202,Census Tract 2.02; Spokane County; Washington,28.1,58.4,9.2,18.1,3.7,12.8,5.3,8.2,23.1,10.6
1400000US53063000301,Census Tract 3.01; Spokane County; Washington,35.4,53.6,9.3,15.8,18.5,8.0,6.2,8.5,23.1,10.6
1400000US53063000302,Census Tract 3.02; Spokane County; Washington,33.5,49.9,5.7,14.1,15.3,12.6,4.3,8.1,31.2,7.4
1400000US53063000400,Census Tract 4; Spokane County; Washington,33.6,48.7,4.7,22.9,12.9,10.2,4.1,9.0,23.4,10.7
1400000US53063000500,Census Tract 5; Spokane County; Washington,37.3,49.5,5.8,16.4,13.7,12.4,7.1,5.0,23.9,14.4
1400000US53063000600,Census Tract 6; Spokane County; Washington,33.0,53.6,6.0,20.9,14.5,11.6,4.2,7.9,22.1,10.9
1400000US53063000700,Census Tract 7; Spokane County; Washington,33.1,48.4,9.0,18.1,11.3,11.6,5.0,7.7,22.9,11.8
1400000US53063000800,Census Tract 8; Spokane County; Washington,43.1,48.2,3.8,11.4,11.3,11.7,7.5,6.2,22.2,23.6
1400000US53063000900,Census Tract 9; Spokane County; Washington,43.5,47.3,3.9,8.6,12.5,14.4,6.3,10.3,24.4,17.3
1400000US53063001000,Census Tract 10; Spokane County; Washington,43.7,48.8,1.2,9.8,17.1,15.9,5.3,10.3,23.6,16.4
1400000US53063001100,Census Tract 11; Spokane County; Washington,35.5,47.9,1.3,23.5,11.6,12.5,6.6,6.3,23.3,13.8
1400000US53063001200,Census Tract 12; Spokane County; Washington,33.9,48.5,10.3,19.2,11.8,15.4,4.2,5.4,21.0,11.8
1400000US53063001300,Census Tract 13; Spokane County; Washington,37.7,49.3,7.8,18.4,16.7,11.9,3.3,9.1,18.8,12.5
1400000US53063001400,Census Tract 14; Spokane County; Washington,30.6,49.4,5.7,24.6,13.7,8.7,5.2,3.3,27.2,8.7
