geo_id,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M
1400000US53063013002,189000.0,1116.0,68.0,23.8,0.0,0.0
1400000US53063013003,467100.0,985.0,34.0,51.0,38.0,2.2
1400000US53063013101,306800.0,1415.0,37.8,48.2,4.6,0.0
1400000US53063013102,276000.0,1123.0,17.7,24.2,19.9,0.0
1400000US53063013201,261100.0,1429.0,7.9,24.7,8.5,2.8
1400000US53063013203,334900.0,1513.0,31.6,46.0,16.0,0.0
1400000US53063013204,377300.0,943.0,29.9,43.7,23.8,7.5
1400000US53063013205,462800.0,1481.0,28.6,35.7,38.8,1.8
1400000US53063013300,490700.0,1116.0,9.0,31.1,43.2,4.9
1400000US53063013401,423900.0,2047.0,8.6,55.2,21.5,5.8
1400000US53063013501,333000.0,,6.3,29.6,18.0,9.4
1400000US53063013502,552000.0,1597.0,10.0,24.0,47.0,9.3
1400000US53063013503,407800.0,,3.2,49.1,25.6,0.6
1400000US53063013600,278200.0,1261.0,35.1,33.7,7.6,0.8
1400000US53063013700,267100.0,1161.0,57.3,22.5,15.2,3.5
1400000US53063013800,,1455.0,99.3,0.0,100.0,0.0
1400000US53063013900,254100.0,675.0,22.1,24.0,5.5,0.0
1400000US53063014001,253000.0,863.0,73.2,29.4,0.0,1.0
1400000US53063014002,230100.0,1009.0,62.5,10.9,8.9,0.0
1400000US53063014100,297700.0,792.0,9.6,39.5,9.0,0.7
1400000US53063014200,353500.0,1215.0,16.9,32.2,22.2,1.0
1400000US53063014300,206700.0,766.0,22.0,18.4,6.2,0.0
1400000US53063014400,175800.0,1125.0,24.6,3.7,2.3,0.0
1400000US53063014500,170400.0,762.0,66.6,4.9,3.9,1.6
