geo_id,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_diff_state,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063001600,42.7,25.5,9.8,5.8,2.0,0.0,13.0,4.1,29.5,1.362,8.16,53.8,2.8,0.0,0.0,33.9,53.4,7.3,16.2,13.4,9.9,5.4,7.6,26.2,11.9
1400000US53063001800,26.9,23.5,11.6,18.4,11.7,1.5,8.0,6.1,16.9,2.058,7.65,58.2,8.1,0.0,1.1,37.3,50.7,4.4,18.3,9.5,13.6,7.1,5.3,21.3,18.6
1400000US53063001900,27.8,24.6,13.6,18.8,9.8,2.3,1.3,8.5,13.6,2.047,10.65,42.5,20.1,1.5,1.2,32.3,46.6,6.7,20.8,13.6,10.6,5.5,4.5,25.6,12.5
1400000US53063002000,25.9,32.9,15.2,10.3,4.6,3.5,7.7,10.7,36.0,1.608,9.17,59.7,9.6,0.0,0.7,35.5,51.7,5.4,17.4,14.2,15.4,6.9,2.6,24.4,11.6
1400000US53063002100,30.1,22.9,18.6,10.2,9.7,2.1,4.0,12.2,6.5,1.803,9.06,35.8,6.9,2.1,0.0,32.3,52.3,9.6,29.4,12.3,8.2,4.5,5.9,15.1,13.7
1400000US53063002300,28.4,21.8,12.8,18.4,11.5,2.6,2.9,4.9,21.8,1.614,10.15,34.8,13.6,7.6,0.0,44.2,53.4,7.3,16.1,15.5,8.8,11.3,7.5,11.2,20.1
1400000US53063002400,23.8,28.5,9.9,15.9,7.4,10.3,3.6,9.6,45.5,2.256,8.33,88.0,0.0,6.1,6.1,34.3,54.6,8.0,26.2,13.4,11.7,4.0,4.3,14.5,15.1
1400000US53063002501,27.7,25.0,19.7,18.7,3.1,11.5,5.3,5.7,43.3,2.75,7.5,76.9,1.8,39.7,0.0,23.4,57.8,43.1,21.5,2.7,5.9,4.5,4.3,5.9,6.3
1400000US53063002502,34.8,25.9,10.9,16.0,3.1,2.6,5.2,8.9,36.6,2.006,9.65,71.2,17.5,0.0,0.0,29.1,61.3,19.9,28.7,9.0,8.3,5.9,1.7,12.4,10.9
1400000US53063002503,12.9,6.0,12.9,0.0,23.5,23.7,6.2,20.3,57.4,,25.51,100.0,,,,19.8,54.5,35.9,1.3,0.6,1.7,2.1,0.9,0.6,0.0
1400000US53063002600,21.5,37.9,10.0,12.8,3.8,2.6,10.3,3.4,22.2,1.487,8.84,54.0,5.6,1.0,0.0,36.3,50.0,13.8,16.0,17.9,12.5,5.3,8.1,17.3,7.5
1400000US53063002900,26.5,24.5,10.8,25.8,4.6,0.5,13.8,5.7,6.6,2.146,14.02,17.8,13.7,4.6,0.0,34.4,49.8,7.3,19.7,11.6,7.5,8.2,8.8,23.3,13.0
1400000US53063003000,20.1,29.2,5.1,22.7,8.8,0.9,10.4,7.9,23.5,1.647,10.65,37.0,3.2,0.5,1.9,30.8,53.6,5.2,27.3,11.2,11.2,4.1,2.2,25.5,11.8
1400000US53063003100,14.8,24.3,8.5,35.3,15.4,2.7,7.1,5.0,23.0,2.331,10.76,44.7,25.9,5.5,0.0,34.0,44.7,3.7,28.3,14.6,7.4,7.8,7.2,20.8,9.4
1400000US53063003200,25.4,21.3,10.4,26.6,10.7,3.3,7.9,8.6,19.9,1.76,9.46,71.1,26.2,0.0,0.0,46.5,50.2,7.1,27.9,6.6,11.3,8.4,6.1,7.1,24.9
1400000US53063003500,23.8,31.2,9.2,17.4,10.4,11.4,2.8,12.7,51.6,3.821,5.04,95.4,16.5,47.1,0.0,49.8,56.9,7.7,16.3,16.9,15.3,12.9,8.9,3.1,18.0
1400000US53063003601,7.6,45.3,6.5,20.0,14.3,4.2,2.0,8.2,24.1,3.554,9.33,78.7,20.9,36.9,0.0,28.6,39.1,6.9,25.6,9.6,7.9,12.3,3.2,25.0,7.6
1400000US53063003602,22.0,31.9,10.1,21.8,10.4,1.2,4.4,7.1,20.0,2.021,7.43,88.8,0.0,0.0,0.0,36.4,55.1,4.2,40.8,11.4,12.1,9.5,3.7,3.4,14.9
1400000US53063003800,16.2,20.6,20.9,27.0,11.8,5.3,8.5,6.3,11.1,2.189,10.31,53.8,17.2,3.6,0.0,37.0,46.3,9.3,20.0,10.9,12.7,4.0,6.8,14.4,17.4
1400000US53063003900,14.4,25.3,15.3,17.1,20.3,13.8,4.5,8.7,12.4,1.237,14.92,19.8,7.3,23.5,1.2,48.4,47.4,7.1,9.1,11.6,8.9,5.5,8.1,20.0,29.2
1400000US53063004001,11.3,33.4,17.0,18.2,11.9,4.0,14.0,5.2,11.3,2.749,8.95,62.5,20.9,5.1,4.5,33.3,34.3,9.3,20.4,11.5,11.7,10.1,4.8,18.0,10.9
1400000US53063004002,13.3,26.6,9.0,30.3,11.6,7.4,0.0,3.7,12.8,3.079,8.41,66.8,52.8,0.0,0.0,34.1,52.4,16.5,24.8,15.6,11.3,2.4,9.8,11.3,7.6
1400000US53063004100,7.7,22.1,7.0,31.5,29.8,0.9,2.0,2.3,12.8,3.702,8.6,46.0,58.0,15.6,1.4,42.7,47.2,5.7,20.8,9.3,12.3,4.7,6.0,15.6,25.0
1400000US53063004200,9.4,14.0,4.8,33.9,37.2,3.0,5.7,7.8,5.0,3.876,12.29,13.6,44.1,24.5,0.9,43.6,48.5,6.2,8.9,12.7,14.6,6.4,8.7,22.2,18.7
1400000US53063004300,7.1,19.9,14.1,31.6,26.1,2.4,5.6,1.0,6.6,3.6,12.5,15.2,52.6,18.9,0.0,42.9,48.7,4.1,15.3,9.1,12.3,3.6,8.2,22.4,24.8
1400000US53063004400,12.1,20.9,14.6,31.1,20.3,2.4,2.7,2.4,4.6,2.75,12.74,32.1,21.3,7.3,6.0,38.8,48.8,6.9,13.8,15.2,9.1,4.0,6.5,20.1,21.7
