geo_id,census_tract,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US16055001400,Census Tract 14; Kootenai County; Idaho,18.8,34.2,8.3,20.0,12.2,72.4,27.6,27.6,12.9,14.8,3.6,11.2,0.0,97.1,2.9,5.5,16.1,341900.0,1160.0,53.3,22.5,29.6,5.0,41.6,53.8,6.5,19.9,9.9,13.0,13.2,6.1,11.4,15.1
1400000US16055001500,Census Tract 15; Kootenai County; Idaho,32.5,26.6,7.3,19.5,7.4,62.0,38.0,37.1,17.8,19.3,2.3,17.0,0.9,98.8,1.2,3.6,7.7,299000.0,1027.0,48.1,41.4,7.0,1.2,37.5,53.9,4.7,22.9,14.1,7.0,11.1,8.1,17.1,13.0
1400000US16055001600,Census Tract 16; Kootenai County; Idaho,19.6,26.6,7.0,29.9,12.3,74.0,26.0,26.0,16.7,9.3,2.8,6.5,0.0,94.1,5.9,3.3,9.3,404700.0,991.0,40.2,24.6,20.7,14.9,38.5,48.7,6.9,17.3,14.7,11.6,7.9,5.7,17.6,15.8
1400000US16055001700,Census Tract 17; Kootenai County; Idaho,22.1,23.7,11.0,21.2,19.7,85.4,14.6,14.6,11.1,3.6,0.7,2.9,0.0,98.0,2.0,1.8,5.7,486400.0,831.0,26.6,34.9,36.1,10.9,46.8,50.0,4.4,7.9,14.3,10.2,6.9,8.6,20.6,26.5
1400000US16055001801,Census Tract 18.01; Kootenai County; Idaho,10.0,27.2,14.3,28.4,19.5,85.2,14.8,14.8,4.5,10.3,0.6,9.7,0.0,98.3,1.7,3.0,5.7,556200.0,1745.0,5.9,33.9,45.0,11.8,51.5,46.7,1.1,4.4,9.7,12.6,4.3,7.5,24.8,34.6
1400000US16055001802,Census Tract 18.02; Kootenai County; Idaho,21.8,30.2,9.9,21.8,14.6,85.9,14.1,14.1,4.2,9.9,0.5,9.4,0.0,95.9,4.1,0.5,1.6,414000.0,1109.0,16.8,47.3,30.2,6.0,49.3,48.6,2.8,10.8,8.5,19.4,5.5,9.2,20.0,23.4
1400000US16055001901,Census Tract 19.01; Kootenai County; Idaho,42.5,19.0,9.2,23.2,3.7,91.5,8.5,8.5,2.9,5.5,0.9,4.6,0.0,97.8,2.2,0.0,11.6,404400.0,905.0,6.6,52.4,9.2,2.9,56.1,51.0,1.5,6.2,6.1,9.5,10.4,10.7,19.5,34.2
1400000US16055001902,Census Tract 19.02; Kootenai County; Idaho,27.8,18.3,5.7,15.9,29.8,91.1,8.9,8.5,4.6,3.9,0.4,3.5,0.4,92.2,7.8,4.9,3.2,470000.0,744.0,6.6,42.7,36.6,3.1,61.9,57.8,2.1,2.9,1.4,20.7,7.2,26.5,4.5,32.4
1400000US16055002000,Census Tract 20; Kootenai County; Idaho,16.0,24.0,9.9,25.8,21.3,89.4,10.6,10.5,5.0,5.5,0.0,5.5,0.2,99.4,0.6,7.0,3.9,594500.0,1226.0,9.1,13.3,45.5,13.6,50.7,47.7,3.4,3.0,11.0,13.6,11.2,14.6,20.7,20.0
1400000US16055940000,Census Tract 9400; Kootenai County; Idaho,27.6,27.4,9.0,18.8,9.8,97.2,2.8,2.8,1.1,1.8,0.0,1.8,0.0,97.3,2.7,5.7,15.3,351800.0,695.0,14.7,34.6,17.5,8.3,55.8,52.8,3.0,7.2,9.2,10.1,10.0,10.0,17.8,31.5
