geo_id,diff_state,diff_County,foreign,unemploy,poverty,rent,age,under18,over65,more_high_school,male
1400000US53063004701,2.5,0.3,8.9,9.7,16.7,9.54,32.8,29.8,11.5,72.0,51.0
1400000US53063004702,5.1,1.7,8.6,2.0,15.3,12.52,41.8,21.7,21.6,82.4,46.8
1400000US53063004800,3.4,2.6,5.6,1.3,9.1,11.38,44.0,21.3,25.9,84.6,46.2
1400000US53063004900,2.7,0.5,4.3,2.5,3.3,10.35,43.2,19.4,23.9,85.5,50.6
1400000US53063005000,1.9,1.3,6.9,5.9,11.7,9.77,39.5,27.2,19.8,84.9,48.4
1400000US53063010101,0.5,1.5,2.9,2.3,3.4,9.62,52.8,13.1,28.8,69.6,52.9
1400000US53063010102,0.2,0.1,2.6,1.0,3.0,,46.9,19.6,17.2,74.1,52.2
1400000US53063010201,2.3,1.0,1.4,3.5,11.2,,43.7,17.5,21.2,65.0,53.7
1400000US53063010203,2.1,0.0,6.2,4.0,5.5,10.37,37.2,26.4,13.0,79.4,49.5
1400000US53063010204,0.0,2.5,0.0,6.6,22.6,,43.1,31.6,20.3,80.89999999999999,45.2
1400000US53063010301,1.0,2.7,1.7,8.7,13.7,7.98,35.5,26.0,18.5,61.4,43.9
1400000US53063010303,0.0,0.8,4.8,1.8,7.9,8.59,47.3,23.2,21.6,68.1,48.9
1400000US53063010304,0.7,3.6,1.5,4.4,12.0,6.75,46.4,21.4,21.3,63.900000000000006,49.5
1400000US53063010305,0.2,0.8,1.4,3.5,7.6,10.94,40.1,24.9,14.7,78.49999999999999,55.1
1400000US53063010401,3.8,10.7,8.8,10.9,23.2,10.27,33.8,20.1,8.4,54.0,67.8
1400000US53063010403,4.5,3.9,11.4,4.9,11.6,9.6,41.2,22.6,15.6,64.1,48.0
1400000US53063010404,0.6,0.0,1.9,3.7,7.3,7.24,50.0,13.9,27.6,76.1,54.0
1400000US53063010504,0.2,3.7,1.2,4.0,7.5,12.11,45.7,26.3,20.7,69.10000000000001,50.5
1400000US53063010505,2.3,0.1,3.6,4.7,6.1,15.09,34.4,30.2,14.9,74.8,51.1
1400000US53063010506,4.3,1.2,7.2,1.9,8.7,10.52,46.6,20.8,25.0,84.1,50.9
1400000US53063010507,4.5,1.1,3.3,2.4,3.1,15.69,41.1,25.4,18.0,76.6,49.6
1400000US53063010508,6.4,0.5,1.4,2.0,4.2,11.64,40.7,30.4,13.1,85.8,51.8
1400000US53063010601,1.2,1.2,3.1,1.9,2.6,12.54,41.7,28.8,21.2,74.5,50.4
1400000US53063010603,3.2,0.7,3.3,1.4,4.7,9.6,50.1,20.3,24.9,75.9,51.1
1400000US53063010604,0.0,1.8,2.5,6.1,3.5,15.95,54.2,18.6,21.1,80.30000000000001,51.7
1400000US53063010701,1.3,3.3,7.7,4.4,3.2,,37.5,34.4,10.7,83.80000000000001,49.4
1400000US53063010702,2.1,4.1,8.8,1.1,13.8,20.71,34.3,37.6,8.2,84.5,51.5
1400000US53063010800,1.5,4.4,2.8,5.9,24.5,8.61,36.8,14.6,15.7,70.0,42.7
1400000US53063010901,0.1,0.5,0.9,16.1,12.9,12.5,39.4,24.1,20.3,62.1,52.2
1400000US53063010902,7.8,18.2,9.2,12.0,19.6,16.63,20.6,15.0,9.9,77.7,47.7
1400000US53063011000,1.7,4.1,4.5,6.5,8.8,11.45,40.4,25.8,16.7,69.89999999999999,50.3
1400000US53063011102,5.4,6.4,5.5,3.2,13.2,10.01,31.5,22.9,13.0,64.8,48.6
1400000US53063011103,1.9,0.4,13.3,14.2,12.9,8.2,57.7,10.9,38.9,54.99999999999999,46.7
1400000US53063011104,2.2,0.6,1.9,18.4,34.6,10.56,28.6,18.4,17.4,54.50000000000001,36.0
1400000US53063011202,0.4,1.3,4.6,6.0,6.8,11.48,43.5,22.3,15.7,69.4,48.5
1400000US53063011203,3.7,0.8,9.9,6.7,33.7,10.35,31.2,24.7,17.1,63.8,48.1
1400000US53063011204,0.0,0.9,30.7,2.1,11.9,11.53,37.9,17.8,23.8,53.0,38.6
1400000US53063011301,0.6,1.0,6.1,1.8,5.3,10.99,46.6,17.2,31.6,77.29999999999998,45.9
1400000US53063011302,0.9,6.3,10.7,3.8,13.1,11.05,33.6,20.4,13.7,77.29999999999998,48.7
1400000US53063011400,2.1,1.1,3.2,1.6,11.9,11.11,42.3,24.8,13.0,67.7,50.1
1400000US53063011500,1.0,0.2,7.7,6.1,7.5,10.99,45.0,18.4,13.4,75.0,54.2
1400000US53063011600,1.6,1.7,4.0,3.6,11.5,9.0,37.5,24.3,14.5,65.3,48.4
1400000US53063011701,2.9,0.4,3.9,1.4,10.2,7.38,46.9,15.8,19.4,69.5,52.6
1400000US53063011702,8.9,4.9,5.9,6.2,21.8,10.18,28.6,25.2,9.9,62.39999999999999,47.2
1400000US53063011800,5.5,3.7,2.3,7.1,15.6,10.26,35.7,20.4,19.4,59.5,44.3
1400000US53063011900,10.3,1.9,6.3,3.4,10.0,11.09,32.9,25.5,15.6,62.5,47.8
1400000US53063012000,3.4,0.5,3.0,3.9,16.8,8.32,35.7,23.1,16.5,68.2,47.1
1400000US53063012100,0.4,4.5,2.7,7.0,7.8,11.11,36.9,24.7,13.7,66.4,54.0
1400000US53063012200,1.7,0.3,2.6,8.7,11.1,9.43,38.4,21.5,12.0,56.199999999999996,50.7
1400000US53063012300,0.7,0.6,4.5,4.1,17.4,9.95,36.0,20.2,15.7,55.1,44.4
1400000US53063012401,1.0,1.2,1.8,8.3,5.7,30.0,46.9,19.4,24.7,75.2,45.9
1400000US53063012402,0.8,0.9,4.9,6.7,7.7,13.11,41.0,26.6,16.4,78.2,49.3
1400000US53063012500,1.2,1.4,8.2,5.9,18.6,9.79,39.1,21.7,15.7,47.300000000000004,49.3
1400000US53063012600,0.6,2.6,5.4,5.1,12.3,8.4,34.7,19.4,14.4,71.7,50.8
1400000US53063012701,2.5,3.8,12.4,2.4,7.0,10.82,43.4,17.8,22.8,58.9,50.1
1400000US53063012702,0.5,1.1,6.6,13.2,2.9,12.05,32.0,31.6,14.2,68.2,51.7
1400000US53063012801,5.1,1.3,4.2,6.5,8.7,7.86,40.8,23.2,20.4,67.3,50.8
1400000US53063012802,2.2,2.7,8.3,6.6,4.3,12.53,41.8,21.4,19.1,64.7,47.8
1400000US53063012901,2.1,5.4,7.8,5.3,11.7,13.75,40.7,25.9,23.9,61.20000000000001,53.1
