geo_id,census_tract,pct_high_school,pct_some_college,pct_associate,pct_bachelor,pct_graduate,pct_same_house,pct_diff_house,pct_diff_house_us,pct_same_county,pct_diff_county,pct_diffCounty_sState,pct_diff_state,pct_abroad,pct_native,pct_foreign_born,unemploy_rate,pct_below_poverty,median_house_value,gross_rent_median,pct_renter_occupied,pct_houseValue300k,pct_houseValue500k,pct_houseValue1M,median_age,pct_male,pct_age2024,pct_age2534,pct_age3544,pct_age4554,pct_age5559,pct_age6064,pct_under18,pct_over65
1400000US53063003000,Census Tract 30; Spokane County; Washington,20.1,29.2,5.1,22.7,8.8,82.0,18.0,16.6,13.6,3.0,2.1,0.9,1.3,89.6,10.4,7.9,23.5,164700.0,1065.0,37.0,3.2,0.5,1.9,30.8,53.6,5.2,27.3,11.2,11.2,4.1,2.2,25.5,11.8
1400000US53063003100,Census Tract 31; Spokane County; Washington,14.8,24.3,8.5,35.3,15.4,75.3,24.7,24.4,17.0,7.4,4.6,2.7,0.3,92.9,7.1,5.0,23.0,233100.0,1076.0,44.7,25.9,5.5,0.0,34.0,44.7,3.7,28.3,14.6,7.4,7.8,7.2,20.8,9.4
1400000US53063003200,Census Tract 32; Spokane County; Washington,25.4,21.3,10.4,26.6,10.7,64.3,35.7,35.4,23.9,11.5,8.3,3.3,0.2,92.1,7.9,8.6,19.9,176000.0,946.0,71.1,26.2,0.0,0.0,46.5,50.2,7.1,27.9,6.6,11.3,8.4,6.1,7.1,24.9
1400000US53063003500,Census Tract 35; Spokane County; Washington,23.8,31.2,9.2,17.4,10.4,60.3,39.7,39.1,25.0,14.1,2.7,11.4,0.6,97.2,2.8,12.7,51.6,382100.0,504.0,95.4,16.5,47.1,0.0,49.8,56.9,7.7,16.3,16.9,15.3,12.9,8.9,3.1,18.0
1400000US53063003601,Census Tract 36.01; Spokane County; Washington,7.6,45.3,6.5,20.0,14.3,64.9,35.1,35.1,22.3,12.8,8.5,4.2,0.0,98.0,2.0,8.2,24.1,355400.0,933.0,78.7,20.9,36.9,0.0,28.6,39.1,6.9,25.6,9.6,7.9,12.3,3.2,25.0,7.6
1400000US53063003602,Census Tract 36.02; Spokane County; Washington,22.0,31.9,10.1,21.8,10.4,59.5,40.5,39.8,35.9,3.9,2.7,1.2,0.7,95.6,4.4,7.1,20.0,202100.0,743.0,88.8,0.0,0.0,0.0,36.4,55.1,4.2,40.8,11.4,12.1,9.5,3.7,3.4,14.9
1400000US53063003800,Census Tract 38; Spokane County; Washington,16.2,20.6,20.9,27.0,11.8,72.6,27.4,26.9,21.2,5.8,0.4,5.3,0.5,91.5,8.5,6.3,11.1,218900.0,1031.0,53.8,17.2,3.6,0.0,37.0,46.3,9.3,20.0,10.9,12.7,4.0,6.8,14.4,17.4
1400000US53063003900,Census Tract 39; Spokane County; Washington,14.4,25.3,15.3,17.1,20.3,71.7,28.3,22.2,7.6,14.7,0.9,13.8,6.1,95.5,4.5,8.7,12.4,123700.0,1492.0,19.8,7.3,23.5,1.2,48.4,47.4,7.1,9.1,11.6,8.9,5.5,8.1,20.0,29.2
1400000US53063004001,Census Tract 40.01; Spokane County; Washington,11.3,33.4,17.0,18.2,11.9,75.4,24.6,24.1,7.3,16.8,12.8,4.0,0.6,86.0,14.0,5.2,11.3,274900.0,895.0,62.5,20.9,5.1,4.5,33.3,34.3,9.3,20.4,11.5,11.7,10.1,4.8,18.0,10.9
1400000US53063004002,Census Tract 40.02; Spokane County; Washington,13.3,26.6,9.0,30.3,11.6,59.7,40.3,38.1,28.8,9.4,2.0,7.4,2.2,100.0,0.0,3.7,12.8,307900.0,841.0,66.8,52.8,0.0,0.0,34.1,52.4,16.5,24.8,15.6,11.3,2.4,9.8,11.3,7.6
1400000US53063004100,Census Tract 41; Spokane County; Washington,7.7,22.1,7.0,31.5,29.8,88.3,11.7,11.2,7.9,3.3,2.3,0.9,0.5,98.0,2.0,2.3,12.8,370200.0,860.0,46.0,58.0,15.6,1.4,42.7,47.2,5.7,20.8,9.3,12.3,4.7,6.0,15.6,25.0
1400000US53063004200,Census Tract 42; Spokane County; Washington,9.4,14.0,4.8,33.9,37.2,85.4,14.6,13.9,8.1,5.8,2.8,3.0,0.7,94.3,5.7,7.8,5.0,387600.0,1229.0,13.6,44.1,24.5,0.9,43.6,48.5,6.2,8.9,12.7,14.6,6.4,8.7,22.2,18.7
